フォームリンク名,フォーム表示名,フィールドリンク名,フィールド表示名,フィールド型
Wf_Dept_Form,【システム用】部署マスタ,dept_id,部署ID,単一行
Wf_Dept_Form,【システム用】部署マスタ,dept_code,部署コード,単一行
Wf_Dept_Form,【システム用】部署マスタ,dept_name,部署名,単一行
Wf_Dept_Form,【システム用】部署マスタ,parent_id,上位部署ID,単一行
Wf_Dept_Form,【システム用】部署マスタ,head_id,部門長ID,単一行
Wf_Dept_Form,【システム用】部署マスタ,sort_order,表示順,数値
Wf_Dept_Form,【システム用】部署マスタ,updated_at,更新日時,単一行
Wf_Employee_Form,【システム用】社員マスタ,emp_id,社員ID,単一行
Wf_Employee_Form,【システム用】社員マスタ,emp_no,社員番号,単一行
Wf_Employee_Form,【システム用】社員マスタ,emp_name,氏名,単一行
Wf_Employee_Form,【システム用】社員マスタ,emp_kana,フリガナ,単一行
Wf_Employee_Form,【システム用】社員マスタ,email,メール,単一行
Wf_Employee_Form,【システム用】社員マスタ,dept_name,所属,単一行
Wf_Employee_Form,【システム用】社員マスタ,title,役職,単一行
Wf_Employee_Form,【システム用】社員マスタ,manager_id,上長ID,単一行
Wf_Employee_Form,【システム用】社員マスタ,manager_name,上長名,単一行
Wf_Employee_Form,【システム用】社員マスタ,roles,権限（カンマ区切り）,単一行
Wf_Employee_Form,【システム用】社員マスタ,join_date,入社日,単一行
Wf_Employee_Form,【システム用】社員マスタ,leave_balance,有給残日数,数値
Wf_Employee_Form,【システム用】社員マスタ,deputy_id,代理人ID,単一行
Wf_Employee_Form,【システム用】社員マスタ,deputy_from,代理開始日,単一行
Wf_Employee_Form,【システム用】社員マスタ,deputy_to,代理終了日,単一行
Wf_Employee_Form,【システム用】社員マスタ,is_active,在籍（true/false）,単一行
Wf_Employee_Form,【システム用】社員マスタ,updated_at,更新日時,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,vendor_id,取引先ID,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,vendor_code,取引先コード,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,vendor_name,取引先名,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,invoice_reg_no,登録番号,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,is_qualified,適格事業者（true/false）,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,payment_terms,支払条件,単一行
Wf_Vendor_Form,【システム用】取引先マスタ,updated_at,更新日時,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,account_id,科目ID,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,account_code,科目コード,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,account_name,勘定科目,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,tax_category,既定税区分,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,is_active,有効（true/false）,単一行
Wf_Account_Form,【システム用】勘定科目マスタ,updated_at,更新日時,単一行
Wf_Type_Form,【システム用】申請テンプレート,type_code,区分コード,単一行
Wf_Type_Form,【システム用】申請テンプレート,type_name,申請名,単一行
Wf_Type_Form,【システム用】申請テンプレート,category,カテゴリ,単一行
Wf_Type_Form,【システム用】申請テンプレート,icon,アイコン,単一行
Wf_Type_Form,【システム用】申請テンプレート,description,説明,単一行
Wf_Type_Form,【システム用】申請テンプレート,field_schema,項目定義（JSON）,複数行
Wf_Type_Form,【システム用】申請テンプレート,route_rule,経路定義（JSON）,複数行
Wf_Type_Form,【システム用】申請テンプレート,sensitivity,機微度,単一行
Wf_Type_Form,【システム用】申請テンプレート,sort_order,表示順,数値
Wf_Type_Form,【システム用】申請テンプレート,is_active,有効（true/false）,単一行
Wf_Type_Form,【システム用】申請テンプレート,updated_at,更新日時,単一行
Wf_Request_Form,【システム用】申請,request_no,申請番号,単一行
Wf_Request_Form,【システム用】申請,type_code,区分コード,単一行
Wf_Request_Form,【システム用】申請,type_name,申請区分,単一行
Wf_Request_Form,【システム用】申請,subject,件名,単一行
Wf_Request_Form,【システム用】申請,applicant_id,申請者ID,単一行
Wf_Request_Form,【システム用】申請,applicant_name,申請者,単一行
Wf_Request_Form,【システム用】申請,applicant_dept,申請者所属,単一行
Wf_Request_Form,【システム用】申請,amount,金額,数値
Wf_Request_Form,【システム用】申請,status,ステータス,単一行
Wf_Request_Form,【システム用】申請,applied_on,申請日時,単一行
Wf_Request_Form,【システム用】申請,completed_on,完了日時,単一行
Wf_Request_Form,【システム用】申請,current_step,現在ステップ,数値
Wf_Request_Form,【システム用】申請,route_json,承認経路（JSON）,複数行
Wf_Request_Form,【システム用】申請,form_data_json,入力値（JSON）,複数行
Wf_Request_Form,【システム用】申請,payment_due,支払期日,単一行
Wf_Request_Form,【システム用】申請,paid,支払済（true/false）,単一行
Wf_Request_Form,【システム用】申請,journal_exported,仕訳出力済（true/false）,単一行
Wf_Request_Form,【システム用】申請,updated_at,更新日時,単一行
Wf_Line_Form,【システム用】申請明細,request_id,申請ID,単一行
Wf_Line_Form,【システム用】申請明細,request_no,申請番号,単一行
Wf_Line_Form,【システム用】申請明細,line_no,行番号,数値
Wf_Line_Form,【システム用】申請明細,line_date,取引年月日,単一行
Wf_Line_Form,【システム用】申請明細,account_name,勘定科目,単一行
