type_code,type_name,category,icon,description,field_schema,route_rule,sensitivity,sort_order,is_active
RINGI,稟議書,稟議・購買,📋,一般稟議。金額により決裁者が自動で変わります。,"{""fields"":[{""key"":""subject"",""label"":""件名"",""type"":""text"",""required"":true,""full"":true},{""key"":""amount"",""label"":""金額（税込）"",""type"":""currency"",""required"":true,""routeKey"":true},{""key"":""exec_date"",""label"":""実行予定日"",""type"":""date"",""required"":true},{""key"":""category"",""label"":""区分"",""type"":""select"",""required"":true,""options"":[""設備投資"",""業務委託"",""システム導入"",""広告宣伝"",""その他""]},{""key"":""reason"",""label"":""起案理由・背景"",""type"":""textarea"",""required"":true,""full"":true},{""key"":""effect"",""label"":""期待効果"",""type"":""textarea"",""full"":true},{""key"":""risk"",""label"":""リスク・代替案"",""type"":""textarea"",""full"":true}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""部長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":3,""when"":{""field"":""amount"",""gte"":100000}},{""name"":""本部長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""本部長""},""days"":3,""when"":{""field"":""amount"",""gte"":500000}},{""name"":""社長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""社長""},""days"":5,""when"":{""field"":""amount"",""gte"":3000000}},{""name"":""経理回覧"",""type"":""回覧"",""assignee"":{""mode"":""department"",""department"":""経理部""},""days"":3}]}",B,1,true
EXPENSE,経費精算,経費,🧾,明細行ごとに勘定科目・税区分・インボイス番号を登録。,"{""fields"":[{""key"":""subject"",""label"":""件名"",""type"":""text"",""required"":true,""full"":true},{""key"":""pay_month"",""label"":""精算対象月"",""type"":""text"",""required"":true,""placeholder"":""2026-09""},{""key"":""bank_note"",""label"":""振込先メモ"",""type"":""text""},{""key"":""lines"",""label"":""経費明細"",""type"":""lines"",""required"":true,""full"":true,""columns"":[{""key"":""date"",""label"":""日付"",""type"":""date"",""w"":""120px""},{""key"":""account"",""label"":""勘定科目"",""type"":""account"",""w"":""140px""},{""key"":""vendor"",""label"":""取引先"",""type"":""vendor"",""w"":""150px""},{""key"":""desc"",""label"":""摘要"",""type"":""text""},{""key"":""invoice_no"",""label"":""登録番号"",""type"":""text"",""w"":""140px""},{""key"":""tax"",""label"":""税区分"",""type"":""tax"",""w"":""110px""},{""key"":""amount"",""label"":""金額(税込)"",""type"":""currency"",""w"":""120px""}]}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":3,""when"":{""field"":""amount"",""gte"":50000}},{""name"":""経理検収"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""経理部""},""days"":3}]}",B,2,true
TRANSPORT,交通費精算,経費,🚃,区間ごとに往復区分・定期控除を判定します。,"{""fields"":[{""key"":""subject"",""label"":""件名"",""type"":""text"",""required"":true,""full"":true},{""key"":""pay_month"",""label"":""精算対象月"",""type"":""text"",""required"":true,""placeholder"":""2026-09""},{""key"":""lines"",""label"":""交通費明細"",""type"":""lines"",""required"":true,""full"":true,""columns"":[{""key"":""date"",""label"":""日付"",""type"":""date"",""w"":""120px""},{""key"":""from"",""label"":""出発地"",""type"":""text"",""w"":""130px""},{""key"":""to"",""label"":""到着地"",""type"":""text"",""w"":""130px""},{""key"":""purpose"",""label"":""目的"",""type"":""text""},{""key"":""roundtrip"",""label"":""往復"",""type"":""select"",""options"":[""片道"",""往復""],""w"":""90px""},{""key"":""amount"",""label"":""金額"",""type"":""currency"",""w"":""110px""}]}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""経理検収"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""経理部""},""days"":3}]}",C,3,true
PURCHASE,購買申請,稟議・購買,🛒,備品・消耗品の購入。相見積の有無を記録します。,"{""fields"":[{""key"":""subject"",""label"":""件名"",""type"":""text"",""required"":true,""full"":true},{""key"":""need_by"",""label"":""希望納期"",""type"":""date"",""required"":true},{""key"":""quote_count"",""label"":""相見積社数"",""type"":""number"",""required"":true},{""key"":""reason"",""label"":""購入理由"",""type"":""textarea"",""required"":true,""full"":true},{""key"":""lines"",""label"":""購入明細"",""type"":""lines"",""required"":true,""full"":true,""columns"":[{""key"":""item"",""label"":""品名"",""type"":""text""},{""key"":""model"",""label"":""型番"",""type"":""text"",""w"":""140px""},{""key"":""vendor"",""label"":""取引先"",""type"":""vendor"",""w"":""150px""},{""key"":""qty"",""label"":""数量"",""type"":""number"",""w"":""80px""},{""key"":""unit_price"",""label"":""単価"",""type"":""currency"",""w"":""110px""},{""key"":""amount"",""label"":""金額"",""type"":""calc"",""formula"":""qty*unit_price"",""w"":""120px""}]}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":3,""when"":{""field"":""amount"",""gte"":100000}},{""name"":""本部長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""本部長""},""days"":3,""when"":{""field"":""amount"",""gte"":500000}},{""name"":""総務発注"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""総務部""},""days"":2}]}",B,4,true
PAYMENT,支払申請,経費,💴,請求書払い。適格請求書発行事業者かを自動判定します。,"{""fields"":[{""key"":""subject"",""label"":""件名"",""type"":""text"",""required"":true,""full"":true},{""key"":""vendor"",""label"":""取引先"",""type"":""vendor"",""required"":true},{""key"":""invoice_number"",""label"":""請求書番号"",""type"":""text"",""required"":true},{""key"":""amount"",""label"":""請求金額（税込）"",""type"":""currency"",""required"":true,""routeKey"":true},{""key"":""tax"",""label"":""税区分"",""type"":""select"",""required"":true,""options"":[""課税10%"",""軽減8%"",""非課税"",""不課税""]},{""key"":""account"",""label"":""勘定科目"",""type"":""account"",""required"":true},{""key"":""due_date"",""label"":""支払期日"",""type"":""date"",""required"":true},{""key"":""note"",""label"":""摘要"",""type"":""textarea"",""full"":true}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":3,""when"":{""field"":""amount"",""gte"":100000}},{""name"":""本部長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""本部長""},""days"":3,""when"":{""field"":""amount"",""gte"":1000000}},{""name"":""経理支払処理"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""経理部""},""days"":3}]}",A,5,true
SEAL,押印申請,その他,🔴,印章種別・押印枚数・返却期限を管理します。,"{""fields"":[{""key"":""subject"",""label"":""書類名"",""type"":""text"",""required"":true,""full"":true},{""key"":""seal_type"",""label"":""印章種別"",""type"":""select"",""required"":true,""options"":[""代表者印（実印）"",""角印"",""銀行印"",""契約印""]},{""key"":""sheets"",""label"":""押印枚数"",""type"":""number"",""required"":true},{""key"":""counterparty"",""label"":""相手先"",""type"":""text"",""required"":true},{""key"":""use_date"",""label"":""使用日"",""type"":""date"",""required"":true},{""key"":""return_date"",""label"":""返却予定日"",""type"":""date""},{""key"":""reason"",""label"":""押印理由"",""type"":""textarea"",""required"":true,""full"":true}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":1},{""name"":""総務確認"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""総務部""},""days"":2},{""name"":""実印決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""社長""},""days"":3,""when"":{""field"":""seal_type"",""eq"":""代表者印（実印）""}}]}",B,6,true
LEAVE,休暇申請,人事・労務,🏖️,有給残日数と連動。半休・時間単位年休に対応。,"{""fields"":[{""key"":""leave_type"",""label"":""休暇種別"",""type"":""select"",""required"":true,""options"":[""年次有給休暇"",""半休（午前）"",""半休（午後）"",""時間単位年休"",""特別休暇"",""慶弔休暇"",""振替休日"",""欠勤""]},{""key"":""from_date"",""label"":""開始日"",""type"":""date"",""required"":true},{""key"":""to_date"",""label"":""終了日"",""type"":""date"",""required"":true},{""key"":""days"",""label"":""取得日数"",""type"":""number"",""required"":true},{""key"":""reason"",""label"":""理由"",""type"":""textarea"",""full"":true},{""key"":""handover"",""label"":""業務引継ぎ先"",""type"":""employee""}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":1},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":2,""when"":{""field"":""days"",""gte"":5}},{""name"":""人事記録"",""type"":""回覧"",""assignee"":{""mode"":""department"",""department"":""人事部""},""days"":3}]}",A,7,true
TRIP,出張申請,経費,✈️,規程に基づく日当・宿泊上限を表示します。,"{""fields"":[{""key"":""subject"",""label"":""出張目的"",""type"":""text"",""required"":true,""full"":true},{""key"":""destination"",""label"":""出張先"",""type"":""text"",""required"":true},{""key"":""from_date"",""label"":""出発日"",""type"":""date"",""required"":true},{""key"":""to_date"",""label"":""帰着日"",""type"":""date"",""required"":true},{""key"":""nights"",""label"":""宿泊数"",""type"":""number"",""required"":true},{""key"":""transport_fee"",""label"":""交通費見込"",""type"":""currency"",""required"":true},{""key"":""hotel_fee"",""label"":""宿泊費見込"",""type"":""currency"",""required"":true},{""key"":""per_diem"",""label"":""日当"",""type"":""currency""},{""key"":""amount"",""label"":""合計見込（税込）"",""type"":""currency"",""required"":true,""routeKey"":true},{""key"":""advance"",""label"":""仮払希望"",""type"":""checkbox""}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":2},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":2,""when"":{""field"":""amount"",""gte"":100000}},{""name"":""本部長決裁"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""本部長""},""days"":3,""when"":{""field"":""amount"",""gte"":300000}},{""name"":""経理仮払"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""経理部""},""days"":2}]}",C,8,true
OVERTIME,残業・休日出勤申請,人事・労務,🕘,当月累計と36協定上限を突き合わせます。,"{""fields"":[{""key"":""work_date"",""label"":""対象日"",""type"":""date"",""required"":true},{""key"":""work_type"",""label"":""区分"",""type"":""select"",""required"":true,""options"":[""時間外労働"",""休日出勤"",""深夜労働""]},{""key"":""hours"",""label"":""見込時間数"",""type"":""number"",""required"":true},{""key"":""reason"",""label"":""理由"",""type"":""textarea"",""required"":true,""full"":true}]}","{""steps"":[{""name"":""直属上長"",""type"":""承認"",""assignee"":{""mode"":""manager"",""level"":1},""days"":1},{""name"":""部長承認"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":2,""when"":{""field"":""hours"",""gte"":20}},{""name"":""人事確認"",""type"":""回覧"",""assignee"":{""mode"":""department"",""department"":""人事部""},""days"":3}]}",A,9,true
ONBOARD,入社手続き申請,人事・労務,🎓,貸与品・アカウント発行をチェックリスト化。,"{""fields"":[{""key"":""emp_name"",""label"":""入社者氏名"",""type"":""text"",""required"":true},{""key"":""emp_kana"",""label"":""フリガナ"",""type"":""text"",""required"":true},{""key"":""join_date"",""label"":""入社日"",""type"":""date"",""required"":true},{""key"":""emp_type"",""label"":""雇用区分"",""type"":""select"",""required"":true,""options"":[""正社員"",""契約社員"",""パート・アルバイト"",""嘱託"",""派遣""]},{""key"":""department"",""label"":""配属部署"",""type"":""department"",""required"":true},{""key"":""title"",""label"":""役職"",""type"":""select"",""options"":[""一般"",""主任"",""課長"",""部長"",""本部長""]},{""key"":""equipment"",""label"":""貸与品"",""type"":""text"",""full"":true,""placeholder"":""ノートPC / 社用携帯 / 入館証 / 名刺""},{""key"":""accounts_needed"",""label"":""必要アカウント"",""type"":""text"",""full"":true,""placeholder"":""メール / 勤怠 / Zoho / 会計""}]}","{""steps"":[{""name"":""配属部署長"",""type"":""承認"",""assignee"":{""mode"":""title"",""title"":""部長""},""days"":2},{""name"":""人事手続き"",""type"":""承認"",""assignee"":{""mode"":""department"",""department"":""人事部""},""days"":3},{""name"":""情シス手配"",""type"":""合議"",""assignee"":{""mode"":""department"",""department"":""開発部""},""days"":3},{""name"":""総務手配"",""type"":""合議"",""assignee"":{""mode"":""department"",""department"":""総務部""},""days"":3}]}",S,10,true
