取込順,フォーム,項目数,取込後にルックアップへ変更する項目,取込後に選択型へ変更する項目
1,Departments,4,Parent_Department / Dept_Head,
2,Employees,14,Department / Manager / Deputy,Title / Roles
3,Vendors,5,,
4,Accounts,3,,Tax_Category
5,Request_Types,10,,Category / Sensitivity
6,Requests,16,Request_Type / Applicant,Status
7,Request_Lines,12,Request / Account / Vendor,Tax_Rate
8,Approvals,11,Request / Approver / Acted_By,Step_Type / Action
9,Access_Logs,20,Actor,Action / Sensitivity
10,Audit_Logs,7,User,
11,Notifications,6,To_User / Request,
